Ride,Date/Time,Wait Time
Chip 'n' Dale's GADGETcoaster,2024-01-01 08:05:18,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 08:10:18,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 08:15:18,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 08:20:18,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 08:25:17,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 08:30:17,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 08:35:17,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 08:40:17,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 08:45:17,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 08:50:15,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 08:55:18,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 09:00:18,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 09:05:17,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 09:10:18,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 09:15:18,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 09:20:17,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 09:25:18,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 09:30:19,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 09:35:16,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 09:40:18,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 09:45:18,5
Chip 'n' Dale's GADGETcoaster,2024-01-01 09:50:17,15
Chip 'n' Dale's GADGETcoaster,2024-01-01 09:55:17,15
Chip 'n' Dale's GADGETcoaster,2024-01-01 10:00:19,15
Chip 'n' Dale's GADGETcoaster,2024-01-01 10:05:18,15
Chip 'n' Dale's GADGETcoaster,2024-01-01 10:10:18,15
Chip 'n' Dale's GADGETcoaster,2024-01-01 10:15:18,20
Chip 'n' Dale's GADGETcoaster,2024-01-01 10:20:17,20
Chip 'n' Dale's GADGETcoaster,2024-01-01 10:25:18,20
Chip 'n' Dale's GADGETcoaster,2024-01-01 10:30:17,20
Chip 'n' Dale's GADGETcoaster,2024-01-01 10:35:16,20
Chip 'n' Dale's GADGETcoaster,2024-01-01 10:40:19,20
Chip 'n' Dale's GADGETcoaster,2024-01-01 10:45:17,20
