Ride,Date/Time,Wait Time
Haunted Mansion,2023-08-01 08:35:05,13
Haunted Mansion,2023-08-01 08:40:05,13
Haunted Mansion,2023-08-01 08:45:04,13
Haunted Mansion,2023-08-01 08:50:05,13
Haunted Mansion,2023-08-01 08:55:06,13
Haunted Mansion,2023-08-01 09:00:07,13
Haunted Mansion,2023-08-01 09:05:06,13
Haunted Mansion,2023-08-01 09:10:06,13
Haunted Mansion,2023-08-01 09:15:06,13
Haunted Mansion,2023-08-01 09:20:06,13
Haunted Mansion,2023-08-01 09:25:05,13
Haunted Mansion,2023-08-01 09:30:05,13
Haunted Mansion,2023-08-01 09:35:05,13
Haunted Mansion,2023-08-01 09:45:04,13
Haunted Mansion,2023-08-01 09:50:05,20
Haunted Mansion,2023-08-01 09:55:05,25
Haunted Mansion,2023-08-01 10:00:04,20
Haunted Mansion,2023-08-01 10:05:05,20
Haunted Mansion,2023-08-01 10:10:04,20
Haunted Mansion,2023-08-01 10:15:05,35
Haunted Mansion,2023-08-01 10:20:06,40
Haunted Mansion,2023-08-01 10:25:05,40
Haunted Mansion,2023-08-01 10:30:04,40
Haunted Mansion,2023-08-01 10:35:06,25
Haunted Mansion,2023-08-01 10:40:05,25
Haunted Mansion,2023-08-01 10:45:05,25
Haunted Mansion,2023-08-01 10:50:05,25
Haunted Mansion,2023-08-01 10:55:05,35
Haunted Mansion,2023-08-01 11:00:05,50
Haunted Mansion,2023-08-01 11:05:05,50
Haunted Mansion,2023-08-01 11:10:05,50
Haunted Mansion,2023-08-01 11:15:05,35
Haunted Mansion,2023-08-01 11:20:06,35
Haunted Mansion,2023-08-01 11:25:05,45
Haunted Mansion,2023-08-01 11:30:06,45
Haunted Mansion,2023-08-01 11:35:05,45
Haunted Mansion,2023-08-01 11:40:05,45
Haunted Mansion,2023-08-01 11:45:05,45
Haunted Mansion,2023-08-01 11:50:05,45
Haunted Mansion,2023-08-01 11:55:08,45
Haunted Mansion,2023-08-01 12:00:12,45
Haunted Mansion,2023-08-01 12:05:08,45
Haunted Mansion,2023-08-01 12:10:10,45
Haunted Mansion,2023-08-01 12:15:05,45
Haunted Mansion,2023-08-01 12:20:11,45
Haunted Mansion,2023-08-01 12:25:11,45
Haunted Mansion,2023-08-01 12:30:09,45
Haunted Mansion,2023-08-01 12:35:09,40
Haunted Mansion,2023-08-01 12:40:09,40
Haunted Mansion,2023-08-01 12:45:09,40
Haunted Mansion,2023-08-01 12:50:08,40
Haunted Mansion,2023-08-01 12:55:07,30
Haunted Mansion,2023-08-01 13:00:09,30
Haunted Mansion,2023-08-01 13:05:10,30
Haunted Mansion,2023-08-01 13:10:09,30
Haunted Mansion,2023-08-01 13:15:07,45
Haunted Mansion,2023-08-01 13:20:07,35
Haunted Mansion,2023-08-01 13:25:08,35
Haunted Mansion,2023-08-01 13:30:10,35
Haunted Mansion,2023-08-01 13:35:09,35
Haunted Mansion,2023-08-01 13:40:08,35
Haunted Mansion,2023-08-01 13:50:06,35
Haunted Mansion,2023-08-01 13:55:10,35
Haunted Mansion,2023-08-01 14:00:10,35
Haunted Mansion,2023-08-01 14:05:10,35
Haunted Mansion,2023-08-01 14:10:10,35
Haunted Mansion,2023-08-01 14:15:06,35
Haunted Mansion,2023-08-01 14:20:07,35
Haunted Mansion,2023-08-01 14:25:09,35
Haunted Mansion,2023-08-01 14:30:07,35
Haunted Mansion,2023-08-01 14:35:11,35
Haunted Mansion,2023-08-01 14:40:09,35
Haunted Mansion,2023-08-01 14:45:11,35
Haunted Mansion,2023-08-01 14:50:09,45
Haunted Mansion,2023-08-01 14:55:09,45
Haunted Mansion,2023-08-01 15:00:07,45
Haunted Mansion,2023-08-01 15:05:11,45
Haunted Mansion,2023-08-01 15:10:09,45
Haunted Mansion,2023-08-01 15:15:10,45
Haunted Mansion,2023-08-01 15:20:06,25
Haunted Mansion,2023-08-01 15:25:11,25
Haunted Mansion,2023-08-01 15:30:08,25
Haunted Mansion,2023-08-01 15:35:11,25
Haunted Mansion,2023-08-01 15:40:05,30
Haunted Mansion,2023-08-01 15:45:11,30
Haunted Mansion,2023-08-01 15:50:06,30
Haunted Mansion,2023-08-01 15:55:09,30
Haunted Mansion,2023-08-01 16:00:11,30
Haunted Mansion,2023-08-01 16:05:09,30
Haunted Mansion,2023-08-01 16:10:12,30
Haunted Mansion,2023-08-01 16:15:11,50
Haunted Mansion,2023-08-01 16:20:09,50
Haunted Mansion,2023-08-01 16:25:08,50
Haunted Mansion,2023-08-01 16:30:10,40
Haunted Mansion,2023-08-01 16:35:06,40
