Ride,Date/Time,Wait Time
Haunted Mansion,2023-09-02 14:15:04,75
Haunted Mansion,2023-09-02 14:20:05,75
Haunted Mansion,2023-09-02 14:25:04,75
Haunted Mansion,2023-09-02 14:30:04,75
Haunted Mansion,2023-09-02 14:35:05,75
Haunted Mansion,2023-09-02 14:40:05,75
Haunted Mansion,2023-09-02 14:45:05,75
Haunted Mansion,2023-09-02 14:50:06,75
Haunted Mansion,2023-09-02 14:55:05,65
Haunted Mansion,2023-09-02 15:00:06,65
Haunted Mansion,2023-09-02 15:05:06,65
Haunted Mansion,2023-09-02 15:10:06,65
Haunted Mansion,2023-09-02 15:15:06,65
Haunted Mansion,2023-09-02 15:20:05,65
Haunted Mansion,2023-09-02 15:25:04,65
Haunted Mansion,2023-09-02 15:30:05,65
Haunted Mansion,2023-09-02 15:35:06,65
Haunted Mansion,2023-09-02 15:40:04,65
Haunted Mansion,2023-09-02 15:45:03,95
Haunted Mansion,2023-09-02 15:50:05,100
Haunted Mansion,2023-09-02 15:55:05,100
Haunted Mansion,2023-09-02 16:00:06,100
Haunted Mansion,2023-09-02 16:05:03,100
Haunted Mansion,2023-09-02 16:10:05,100
Haunted Mansion,2023-09-02 16:15:05,100
Haunted Mansion,2023-09-02 16:20:06,100
Haunted Mansion,2023-09-02 16:25:04,100
Haunted Mansion,2023-09-02 16:30:06,100
Haunted Mansion,2023-09-02 16:35:05,100
