Ride,Date/Time,Wait Time
Haunted Mansion Holiday,2024-08-01 07:55:11,22
Haunted Mansion Holiday,2024-08-01 08:00:12,25
Haunted Mansion Holiday,2024-08-01 08:05:12,27
Haunted Mansion Holiday,2024-08-01 08:10:12,31
Haunted Mansion Holiday,2024-08-01 08:15:11,34
Haunted Mansion Holiday,2024-08-01 08:20:11,37
Haunted Mansion Holiday,2024-08-01 08:25:11,40
Haunted Mansion Holiday,2024-08-01 08:30:12,44
Haunted Mansion Holiday,2024-08-01 08:35:11,47
Haunted Mansion Holiday,2024-08-01 08:40:11,50
Haunted Mansion Holiday,2024-08-01 08:45:11,54
Haunted Mansion Holiday,2024-08-01 08:50:12,57
Haunted Mansion Holiday,2024-08-01 08:55:11,59
Haunted Mansion Holiday,2024-08-01 09:00:12,60
Haunted Mansion Holiday,2024-08-01 09:05:12,61
Haunted Mansion Holiday,2024-08-01 09:10:11,63
Haunted Mansion Holiday,2024-08-01 09:15:11,64
Haunted Mansion Holiday,2024-08-01 09:20:12,65
Haunted Mansion Holiday,2024-08-01 09:25:11,67
Haunted Mansion Holiday,2024-08-01 09:30:11,68
Haunted Mansion Holiday,2024-08-01 09:35:12,72
Haunted Mansion Holiday,2024-08-01 09:40:11,76
Haunted Mansion Holiday,2024-08-01 09:45:12,80
Haunted Mansion Holiday,2024-08-01 09:50:11,83
Haunted Mansion Holiday,2024-08-01 09:55:11,83
Haunted Mansion Holiday,2024-08-01 10:00:11,92
Haunted Mansion Holiday,2024-08-01 10:05:11,97
Haunted Mansion Holiday,2024-08-01 10:10:12,102
Haunted Mansion Holiday,2024-08-01 10:15:11,105
Haunted Mansion Holiday,2024-08-01 10:20:12,108
Haunted Mansion Holiday,2024-08-01 10:25:12,115
Haunted Mansion Holiday,2024-08-01 10:30:12,120
Haunted Mansion Holiday,2024-08-01 10:35:12,125
Haunted Mansion Holiday,2024-08-01 10:40:11,129
Haunted Mansion Holiday,2024-08-01 10:45:11,132
Haunted Mansion Holiday,2024-08-01 10:50:11,136
Haunted Mansion Holiday,2024-08-01 10:55:11,138
Haunted Mansion Holiday,2024-08-01 11:00:11,141
Haunted Mansion Holiday,2024-08-01 11:05:11,145
Haunted Mansion Holiday,2024-08-01 11:10:12,148
Haunted Mansion Holiday,2024-08-01 11:15:12,151
Haunted Mansion Holiday,2024-08-01 11:20:11,153
Haunted Mansion Holiday,2024-08-01 11:25:12,156
Haunted Mansion Holiday,2024-08-01 11:30:11,158
Haunted Mansion Holiday,2024-08-01 11:35:11,161
Haunted Mansion Holiday,2024-08-01 11:40:11,163
Haunted Mansion Holiday,2024-08-01 11:45:11,166
Haunted Mansion Holiday,2024-08-01 11:50:11,166
Haunted Mansion Holiday,2024-08-01 11:55:12,171
Haunted Mansion Holiday,2024-08-01 12:00:11,173
Haunted Mansion Holiday,2024-08-01 12:05:12,176
Haunted Mansion Holiday,2024-08-01 12:10:11,178
Haunted Mansion Holiday,2024-08-01 12:15:12,182
Haunted Mansion Holiday,2024-08-01 12:20:12,187
Haunted Mansion Holiday,2024-08-01 12:25:12,190
Haunted Mansion Holiday,2024-08-01 12:30:11,194
Haunted Mansion Holiday,2024-08-01 12:35:12,197
Haunted Mansion Holiday,2024-08-01 12:40:11,200
Haunted Mansion Holiday,2024-08-01 12:45:11,204
Haunted Mansion Holiday,2024-08-01 12:50:11,207
Haunted Mansion Holiday,2024-08-01 12:55:11,210
Haunted Mansion Holiday,2024-08-01 13:00:12,214
Haunted Mansion Holiday,2024-08-01 13:05:12,216
Haunted Mansion Holiday,2024-08-01 13:10:11,219
Haunted Mansion Holiday,2024-08-01 13:15:12,223
Haunted Mansion Holiday,2024-08-01 13:20:11,226
Haunted Mansion Holiday,2024-08-01 13:25:11,229
Haunted Mansion Holiday,2024-08-01 13:30:12,233
Haunted Mansion Holiday,2024-08-01 13:35:11,236
Haunted Mansion Holiday,2024-08-01 13:40:12,239
Haunted Mansion Holiday,2024-08-01 13:45:12,243
Haunted Mansion Holiday,2024-08-01 13:50:12,246
Haunted Mansion Holiday,2024-08-01 13:55:11,249
Haunted Mansion Holiday,2024-08-01 14:00:12,253
Haunted Mansion Holiday,2024-08-01 14:05:12,256
Haunted Mansion Holiday,2024-08-01 14:10:11,259
Haunted Mansion Holiday,2024-08-01 14:15:11,262
Haunted Mansion Holiday,2024-08-01 14:20:12,264
Haunted Mansion Holiday,2024-08-01 14:25:12,267
Haunted Mansion Holiday,2024-08-01 14:30:11,270
Haunted Mansion Holiday,2024-08-01 14:35:11,272
Haunted Mansion Holiday,2024-08-01 14:40:11,275
Haunted Mansion Holiday,2024-08-01 14:45:11,279
Haunted Mansion Holiday,2024-08-01 14:50:12,282
Haunted Mansion Holiday,2024-08-01 14:55:12,286
Haunted Mansion Holiday,2024-08-01 15:00:12,290
Haunted Mansion Holiday,2024-08-01 15:05:12,293
Haunted Mansion Holiday,2024-08-01 15:10:12,296
Haunted Mansion Holiday,2024-08-01 15:15:12,301
Haunted Mansion Holiday,2024-08-01 15:20:11,306
Haunted Mansion Holiday,2024-08-01 15:25:11,313
Haunted Mansion Holiday,2024-08-01 15:30:12,318
Haunted Mansion Holiday,2024-08-01 15:35:11,323
Haunted Mansion Holiday,2024-08-01 15:40:12,328
Haunted Mansion Holiday,2024-08-01 15:45:11,332
Haunted Mansion Holiday,2024-08-01 15:50:12,336
Haunted Mansion Holiday,2024-08-01 15:55:12,339
Haunted Mansion Holiday,2024-08-01 16:00:12,342
Haunted Mansion Holiday,2024-08-01 16:05:11,346
Haunted Mansion Holiday,2024-08-01 16:10:11,349
Haunted Mansion Holiday,2024-08-01 16:15:12,352
Haunted Mansion Holiday,2024-08-01 16:20:11,356
Haunted Mansion Holiday,2024-08-01 16:25:12,359
Haunted Mansion Holiday,2024-08-01 16:30:11,362
Haunted Mansion Holiday,2024-08-01 16:35:11,364
Haunted Mansion Holiday,2024-08-01 16:40:12,365
Haunted Mansion Holiday,2024-08-01 16:45:12,368
Haunted Mansion Holiday,2024-08-01 16:50:12,371
Haunted Mansion Holiday,2024-08-01 16:55:11,374
Haunted Mansion Holiday,2024-08-01 17:00:12,377
Haunted Mansion Holiday,2024-08-01 17:05:11,380
Haunted Mansion Holiday,2024-08-01 17:10:11,383
Haunted Mansion Holiday,2024-08-01 17:15:12,387
Haunted Mansion Holiday,2024-08-01 17:20:12,392
Haunted Mansion Holiday,2024-08-01 17:25:12,397
Haunted Mansion Holiday,2024-08-01 17:30:11,402
Haunted Mansion Holiday,2024-08-01 17:35:11,407
Haunted Mansion Holiday,2024-08-01 17:40:12,412
Haunted Mansion Holiday,2024-08-01 17:45:11,417
Haunted Mansion Holiday,2024-08-01 17:50:12,422
Haunted Mansion Holiday,2024-08-01 17:55:12,427
Haunted Mansion Holiday,2024-08-01 18:00:12,432
Haunted Mansion Holiday,2024-08-01 18:05:12,437
Haunted Mansion Holiday,2024-08-01 18:10:11,442
Haunted Mansion Holiday,2024-08-01 18:15:12,447
Haunted Mansion Holiday,2024-08-01 18:20:12,451
Haunted Mansion Holiday,2024-08-01 18:25:12,454
Haunted Mansion Holiday,2024-08-01 18:30:11,456
Haunted Mansion Holiday,2024-08-01 18:35:12,459
Haunted Mansion Holiday,2024-08-01 18:40:12,461
Haunted Mansion Holiday,2024-08-01 18:45:11,464
Haunted Mansion Holiday,2024-08-01 18:50:11,467
Haunted Mansion Holiday,2024-08-01 18:55:11,471
Haunted Mansion Holiday,2024-08-01 19:00:11,473
Haunted Mansion Holiday,2024-08-01 19:05:11,475
Haunted Mansion Holiday,2024-08-01 19:10:11,477
Haunted Mansion Holiday,2024-08-01 19:15:12,479
Haunted Mansion Holiday,2024-08-01 19:20:11,483
Haunted Mansion Holiday,2024-08-01 19:25:11,486
