Ride,Date/Time,Wait Time
Haunted Mansion Holiday,2023-02-10 08:05:05,13
Haunted Mansion Holiday,2023-02-10 08:10:09,13
Haunted Mansion Holiday,2023-02-10 08:15:07,13
Haunted Mansion Holiday,2023-02-10 08:20:08,13
Haunted Mansion Holiday,2023-02-10 08:25:05,13
Haunted Mansion Holiday,2023-02-10 08:30:05,13
Haunted Mansion Holiday,2023-02-10 08:35:07,13
Haunted Mansion Holiday,2023-02-10 08:40:10,13
Haunted Mansion Holiday,2023-02-10 08:45:09,13
Haunted Mansion Holiday,2023-02-10 09:15:09,13
Haunted Mansion Holiday,2023-02-10 09:20:08,13
Haunted Mansion Holiday,2023-02-10 09:25:07,13
Haunted Mansion Holiday,2023-02-10 09:30:09,13
Haunted Mansion Holiday,2023-02-10 09:35:05,30
Haunted Mansion Holiday,2023-02-10 09:50:06,30
Haunted Mansion Holiday,2023-02-10 09:55:09,20
Haunted Mansion Holiday,2023-02-10 10:00:07,20
Haunted Mansion Holiday,2023-02-10 10:05:08,20
Haunted Mansion Holiday,2023-02-10 10:10:07,20
Haunted Mansion Holiday,2023-02-10 10:15:09,20
Haunted Mansion Holiday,2023-02-10 10:20:10,20
Haunted Mansion Holiday,2023-02-10 10:25:08,25
Haunted Mansion Holiday,2023-02-10 10:30:05,25
Haunted Mansion Holiday,2023-02-10 10:35:05,35
Haunted Mansion Holiday,2023-02-10 10:40:09,35
Haunted Mansion Holiday,2023-02-10 10:45:06,35
Haunted Mansion Holiday,2023-02-10 10:50:08,35
Haunted Mansion Holiday,2023-02-10 10:55:10,35
Haunted Mansion Holiday,2023-02-10 11:00:05,30
Haunted Mansion Holiday,2023-02-10 11:05:10,20
Haunted Mansion Holiday,2023-02-10 11:10:05,20
Haunted Mansion Holiday,2023-02-10 11:15:08,35
Haunted Mansion Holiday,2023-02-10 11:20:08,35
Haunted Mansion Holiday,2023-02-10 11:25:08,35
Haunted Mansion Holiday,2023-02-10 11:30:05,40
Haunted Mansion Holiday,2023-02-10 11:35:06,40
Haunted Mansion Holiday,2023-02-10 11:40:08,40
Haunted Mansion Holiday,2023-02-10 11:45:06,50
Haunted Mansion Holiday,2023-02-10 11:50:08,50
Haunted Mansion Holiday,2023-02-10 11:55:05,65
Haunted Mansion Holiday,2023-02-10 12:00:09,50
Haunted Mansion Holiday,2023-02-10 12:05:08,50
Haunted Mansion Holiday,2023-02-10 12:10:06,50
Haunted Mansion Holiday,2023-02-10 12:15:05,50
Haunted Mansion Holiday,2023-02-10 12:20:05,50
Haunted Mansion Holiday,2023-02-10 12:25:08,50
Haunted Mansion Holiday,2023-02-10 12:30:06,50
Haunted Mansion Holiday,2023-02-10 12:35:07,40
Haunted Mansion Holiday,2023-02-10 12:40:10,40
Haunted Mansion Holiday,2023-02-10 12:45:06,40
Haunted Mansion Holiday,2023-02-10 12:50:11,30
Haunted Mansion Holiday,2023-02-10 12:55:06,30
Haunted Mansion Holiday,2023-02-10 13:00:11,30
Haunted Mansion Holiday,2023-02-10 13:05:09,30
Haunted Mansion Holiday,2023-02-10 13:10:05,30
Haunted Mansion Holiday,2023-02-10 13:15:09,30
Haunted Mansion Holiday,2023-02-10 13:20:10,40
Haunted Mansion Holiday,2023-02-10 13:25:08,40
Haunted Mansion Holiday,2023-02-10 13:30:05,40
Haunted Mansion Holiday,2023-02-10 13:35:08,40
Haunted Mansion Holiday,2023-02-10 13:40:12,40
Haunted Mansion Holiday,2023-02-10 13:45:10,40
Haunted Mansion Holiday,2023-02-10 13:50:08,40
Haunted Mansion Holiday,2023-02-10 13:55:08,40
Haunted Mansion Holiday,2023-02-10 14:00:10,40
Haunted Mansion Holiday,2023-02-10 14:05:06,40
Haunted Mansion Holiday,2023-02-10 14:10:07,40
Haunted Mansion Holiday,2023-02-10 14:15:09,25
Haunted Mansion Holiday,2023-02-10 14:20:08,25
Haunted Mansion Holiday,2023-02-10 14:25:09,25
Haunted Mansion Holiday,2023-02-10 14:30:08,35
Haunted Mansion Holiday,2023-02-10 14:35:09,40
Haunted Mansion Holiday,2023-02-10 14:40:07,40
Haunted Mansion Holiday,2023-02-10 14:45:09,30
Haunted Mansion Holiday,2023-02-10 14:50:07,30
Haunted Mansion Holiday,2023-02-10 14:55:10,30
Haunted Mansion Holiday,2023-02-10 15:00:08,30
Haunted Mansion Holiday,2023-02-10 15:05:06,45
Haunted Mansion Holiday,2023-02-10 15:10:07,45
Haunted Mansion Holiday,2023-02-10 15:15:05,45
Haunted Mansion Holiday,2023-02-10 15:20:10,45
Haunted Mansion Holiday,2023-02-10 15:25:12,45
Haunted Mansion Holiday,2023-02-10 15:30:08,45
