Ride,Date/Time,Wait Time
Matterhorn Bobsleds,2023-12-01 08:05:17,5
Matterhorn Bobsleds,2023-12-01 08:10:16,5
Matterhorn Bobsleds,2023-12-01 08:15:16,5
Matterhorn Bobsleds,2023-12-01 08:20:18,5
Matterhorn Bobsleds,2023-12-01 08:25:17,10
Matterhorn Bobsleds,2023-12-01 08:30:17,10
Matterhorn Bobsleds,2023-12-01 08:35:17,15
Matterhorn Bobsleds,2023-12-01 08:40:18,15
Matterhorn Bobsleds,2023-12-01 08:45:17,15
Matterhorn Bobsleds,2023-12-01 08:50:15,15
Matterhorn Bobsleds,2023-12-01 08:55:16,15
Matterhorn Bobsleds,2023-12-01 09:00:17,15
Matterhorn Bobsleds,2023-12-01 09:05:17,15
Matterhorn Bobsleds,2023-12-01 09:10:17,20
Matterhorn Bobsleds,2023-12-01 09:15:18,20
Matterhorn Bobsleds,2023-12-01 09:20:17,20
Matterhorn Bobsleds,2023-12-01 09:25:16,20
Matterhorn Bobsleds,2023-12-01 09:30:17,20
Matterhorn Bobsleds,2023-12-01 09:35:18,20
Matterhorn Bobsleds,2023-12-01 09:40:17,20
Matterhorn Bobsleds,2023-12-01 09:45:17,20
Matterhorn Bobsleds,2023-12-01 09:50:16,45
Matterhorn Bobsleds,2023-12-01 09:55:17,45
Matterhorn Bobsleds,2023-12-01 10:00:17,45
Matterhorn Bobsleds,2023-12-01 10:05:17,45
Matterhorn Bobsleds,2023-12-01 10:10:17,45
Matterhorn Bobsleds,2023-12-01 10:15:17,45
Matterhorn Bobsleds,2023-12-01 10:20:18,45
Matterhorn Bobsleds,2023-12-01 10:25:15,45
Matterhorn Bobsleds,2023-12-01 10:30:16,45
Matterhorn Bobsleds,2023-12-01 10:35:17,45
Matterhorn Bobsleds,2023-12-01 10:40:17,45
Matterhorn Bobsleds,2023-12-01 10:45:17,45
Matterhorn Bobsleds,2023-12-01 10:50:17,45
Matterhorn Bobsleds,2023-12-01 10:55:17,45
Matterhorn Bobsleds,2023-12-01 11:00:18,45
Matterhorn Bobsleds,2023-12-01 11:05:17,45
Matterhorn Bobsleds,2023-12-01 11:10:17,45
Matterhorn Bobsleds,2023-12-01 11:15:17,45
Matterhorn Bobsleds,2023-12-01 11:20:17,45
Matterhorn Bobsleds,2023-12-01 11:25:18,45
Matterhorn Bobsleds,2023-12-01 11:30:17,45
Matterhorn Bobsleds,2023-12-01 11:35:15,45
Matterhorn Bobsleds,2023-12-01 11:40:17,45
Matterhorn Bobsleds,2023-12-01 11:45:16,45
Matterhorn Bobsleds,2023-12-01 11:50:18,45
Matterhorn Bobsleds,2023-12-01 11:55:17,45
Matterhorn Bobsleds,2023-12-01 12:00:14,45
Matterhorn Bobsleds,2023-12-01 12:05:17,45
Matterhorn Bobsleds,2023-12-01 12:10:17,45
Matterhorn Bobsleds,2023-12-01 12:15:17,45
Matterhorn Bobsleds,2023-12-01 12:20:17,45
Matterhorn Bobsleds,2023-12-01 12:25:17,45
Matterhorn Bobsleds,2023-12-01 12:30:16,45
Matterhorn Bobsleds,2023-12-01 12:35:17,45
Matterhorn Bobsleds,2023-12-01 12:40:17,45
Matterhorn Bobsleds,2023-12-01 12:45:18,45
Matterhorn Bobsleds,2023-12-01 12:50:18,45
Matterhorn Bobsleds,2023-12-01 12:55:17,45
Matterhorn Bobsleds,2023-12-01 13:00:17,45
Matterhorn Bobsleds,2023-12-01 13:05:17,45
Matterhorn Bobsleds,2023-12-01 13:10:18,50
Matterhorn Bobsleds,2023-12-01 13:15:17,50
Matterhorn Bobsleds,2023-12-01 13:20:18,50
Matterhorn Bobsleds,2023-12-01 13:25:18,40
Matterhorn Bobsleds,2023-12-01 13:30:15,40
Matterhorn Bobsleds,2023-12-01 13:35:17,40
Matterhorn Bobsleds,2023-12-01 13:40:17,40
Matterhorn Bobsleds,2023-12-01 13:45:16,40
Matterhorn Bobsleds,2023-12-01 13:50:18,50
Matterhorn Bobsleds,2023-12-01 13:55:18,50
Matterhorn Bobsleds,2023-12-01 14:00:18,50
Matterhorn Bobsleds,2023-12-01 14:05:17,50
Matterhorn Bobsleds,2023-12-01 14:10:16,50
Matterhorn Bobsleds,2023-12-01 14:15:17,50
Matterhorn Bobsleds,2023-12-01 14:20:17,50
Matterhorn Bobsleds,2023-12-01 14:25:16,50
Matterhorn Bobsleds,2023-12-01 14:30:17,50
Matterhorn Bobsleds,2023-12-01 14:35:17,50
Matterhorn Bobsleds,2023-12-01 14:40:17,50
Matterhorn Bobsleds,2023-12-01 14:45:18,50
Matterhorn Bobsleds,2023-12-01 14:50:17,50
Matterhorn Bobsleds,2023-12-01 14:55:18,50
Matterhorn Bobsleds,2023-12-01 15:00:16,20
Matterhorn Bobsleds,2023-12-01 15:05:18,20
