Ride,Date/Time,Wait Time
The Many Adventures of Winnie the Pooh,2023-08-01 08:05:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 08:10:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 08:15:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 08:20:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 08:25:04,5
The Many Adventures of Winnie the Pooh,2023-08-01 08:30:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 08:35:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 08:40:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 08:45:04,5
The Many Adventures of Winnie the Pooh,2023-08-01 08:50:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 08:55:06,5
The Many Adventures of Winnie the Pooh,2023-08-01 09:00:07,5
The Many Adventures of Winnie the Pooh,2023-08-01 09:05:06,5
The Many Adventures of Winnie the Pooh,2023-08-01 09:10:06,5
The Many Adventures of Winnie the Pooh,2023-08-01 09:15:06,5
The Many Adventures of Winnie the Pooh,2023-08-01 09:20:06,5
The Many Adventures of Winnie the Pooh,2023-08-01 09:25:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 09:30:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 09:35:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 09:40:04,5
The Many Adventures of Winnie the Pooh,2023-08-01 09:45:04,5
The Many Adventures of Winnie the Pooh,2023-08-01 09:50:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 09:55:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 10:00:04,5
The Many Adventures of Winnie the Pooh,2023-08-01 10:05:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 10:10:04,5
The Many Adventures of Winnie the Pooh,2023-08-01 10:15:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 10:20:06,5
The Many Adventures of Winnie the Pooh,2023-08-01 10:25:05,5
The Many Adventures of Winnie the Pooh,2023-08-01 10:30:04,5
