Ride,Date/Time,Wait Time
Roger Rabbit's Car Toon Spin,2024-02-01 12:55:17,10
Roger Rabbit's Car Toon Spin,2024-02-01 13:00:19,40
Roger Rabbit's Car Toon Spin,2024-02-01 13:05:17,40
Roger Rabbit's Car Toon Spin,2024-02-01 13:10:18,40
Roger Rabbit's Car Toon Spin,2024-02-01 13:15:17,40
Roger Rabbit's Car Toon Spin,2024-02-01 13:20:17,40
Roger Rabbit's Car Toon Spin,2024-02-01 13:25:18,40
Roger Rabbit's Car Toon Spin,2024-02-01 13:30:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 13:35:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 13:40:17,45
Roger Rabbit's Car Toon Spin,2024-02-01 13:45:16,45
Roger Rabbit's Car Toon Spin,2024-02-01 13:50:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 13:55:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 14:00:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 14:05:17,45
Roger Rabbit's Car Toon Spin,2024-02-01 14:10:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 14:15:17,45
Roger Rabbit's Car Toon Spin,2024-02-01 14:20:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 14:25:15,45
Roger Rabbit's Car Toon Spin,2024-02-01 14:30:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 14:35:17,45
Roger Rabbit's Car Toon Spin,2024-02-01 14:40:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 14:45:17,45
Roger Rabbit's Car Toon Spin,2024-02-01 14:50:16,45
Roger Rabbit's Car Toon Spin,2024-02-01 14:55:17,45
Roger Rabbit's Car Toon Spin,2024-02-01 15:00:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 15:05:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 15:10:16,45
Roger Rabbit's Car Toon Spin,2024-02-01 15:15:17,45
Roger Rabbit's Car Toon Spin,2024-02-01 15:20:17,45
Roger Rabbit's Car Toon Spin,2024-02-01 15:25:17,35
Roger Rabbit's Car Toon Spin,2024-02-01 15:30:15,35
Roger Rabbit's Car Toon Spin,2024-02-01 15:35:18,35
Roger Rabbit's Car Toon Spin,2024-02-01 15:40:18,35
Roger Rabbit's Car Toon Spin,2024-02-01 15:45:18,35
Roger Rabbit's Car Toon Spin,2024-02-01 15:50:17,35
Roger Rabbit's Car Toon Spin,2024-02-01 15:55:17,35
Roger Rabbit's Car Toon Spin,2024-02-01 16:00:17,35
Roger Rabbit's Car Toon Spin,2024-02-01 16:05:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 16:10:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 16:15:17,45
Roger Rabbit's Car Toon Spin,2024-02-01 16:20:15,45
Roger Rabbit's Car Toon Spin,2024-02-01 16:25:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 16:30:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 17:25:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 17:30:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 17:35:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 17:40:18,45
Roger Rabbit's Car Toon Spin,2024-02-01 17:45:17,25
Roger Rabbit's Car Toon Spin,2024-02-01 17:50:17,25
Roger Rabbit's Car Toon Spin,2024-02-01 17:55:17,25
Roger Rabbit's Car Toon Spin,2024-02-01 18:00:18,25
Roger Rabbit's Car Toon Spin,2024-02-01 18:05:17,25
Roger Rabbit's Car Toon Spin,2024-02-01 18:10:18,25
Roger Rabbit's Car Toon Spin,2024-02-01 18:15:18,25
Roger Rabbit's Car Toon Spin,2024-02-01 18:20:18,25
Roger Rabbit's Car Toon Spin,2024-02-01 18:25:18,25
Roger Rabbit's Car Toon Spin,2024-02-01 18:30:17,40
Roger Rabbit's Car Toon Spin,2024-02-01 18:35:18,40
Roger Rabbit's Car Toon Spin,2024-02-01 18:40:18,40
Roger Rabbit's Car Toon Spin,2024-02-01 18:45:17,40
Roger Rabbit's Car Toon Spin,2024-02-01 18:50:17,40
Roger Rabbit's Car Toon Spin,2024-02-01 18:55:16,40
Roger Rabbit's Car Toon Spin,2024-02-01 19:00:18,40
Roger Rabbit's Car Toon Spin,2024-02-01 19:05:17,40
Roger Rabbit's Car Toon Spin,2024-02-01 19:10:17,40
Roger Rabbit's Car Toon Spin,2024-02-01 19:15:18,40
Roger Rabbit's Car Toon Spin,2024-02-01 19:20:16,40
Roger Rabbit's Car Toon Spin,2024-02-01 19:25:18,40
Roger Rabbit's Car Toon Spin,2024-02-01 19:30:17,40
Roger Rabbit's Car Toon Spin,2024-02-01 19:35:16,40
Roger Rabbit's Car Toon Spin,2024-02-01 19:40:18,30
Roger Rabbit's Car Toon Spin,2024-02-01 19:45:18,30
Roger Rabbit's Car Toon Spin,2024-02-01 19:50:18,30
Roger Rabbit's Car Toon Spin,2024-02-01 19:55:17,20
Roger Rabbit's Car Toon Spin,2024-02-01 20:00:16,30
Roger Rabbit's Car Toon Spin,2024-02-01 20:05:17,30
Roger Rabbit's Car Toon Spin,2024-02-01 20:10:18,30
Roger Rabbit's Car Toon Spin,2024-02-01 20:15:17,30
Roger Rabbit's Car Toon Spin,2024-02-01 20:20:16,30
Roger Rabbit's Car Toon Spin,2024-02-01 20:25:16,30
Roger Rabbit's Car Toon Spin,2024-02-01 20:30:17,30
Roger Rabbit's Car Toon Spin,2024-02-01 20:35:17,30
Roger Rabbit's Car Toon Spin,2024-02-01 20:40:17,30
Roger Rabbit's Car Toon Spin,2024-02-01 20:45:18,20
Roger Rabbit's Car Toon Spin,2024-02-01 20:50:18,20
Roger Rabbit's Car Toon Spin,2024-02-01 20:55:17,20
Roger Rabbit's Car Toon Spin,2024-02-01 21:00:19,20
Roger Rabbit's Car Toon Spin,2024-02-01 21:05:17,20
Roger Rabbit's Car Toon Spin,2024-02-01 21:10:16,20
Roger Rabbit's Car Toon Spin,2024-02-01 21:15:18,20
Roger Rabbit's Car Toon Spin,2024-02-01 21:20:17,20
Roger Rabbit's Car Toon Spin,2024-02-01 21:25:17,20
Roger Rabbit's Car Toon Spin,2024-02-01 21:30:18,20
Roger Rabbit's Car Toon Spin,2024-02-01 21:35:15,20
Roger Rabbit's Car Toon Spin,2024-02-01 21:40:17,20
Roger Rabbit's Car Toon Spin,2024-02-01 21:45:17,5
Roger Rabbit's Car Toon Spin,2024-02-01 21:50:15,5
Roger Rabbit's Car Toon Spin,2024-02-01 21:55:16,5
Roger Rabbit's Car Toon Spin,2024-02-01 22:00:18,5
Roger Rabbit's Car Toon Spin,2024-02-01 22:05:16,5
Roger Rabbit's Car Toon Spin,2024-02-01 22:10:17,5
Roger Rabbit's Car Toon Spin,2024-02-01 22:15:15,60
Roger Rabbit's Car Toon Spin,2024-02-01 22:20:16,60
Roger Rabbit's Car Toon Spin,2024-02-01 22:25:17,30
Roger Rabbit's Car Toon Spin,2024-02-01 22:30:17,30
Roger Rabbit's Car Toon Spin,2024-02-01 22:35:17,30
Roger Rabbit's Car Toon Spin,2024-02-01 22:40:17,30
Roger Rabbit's Car Toon Spin,2024-02-01 22:45:17,30
Roger Rabbit's Car Toon Spin,2024-02-01 22:50:17,30
Roger Rabbit's Car Toon Spin,2024-02-01 22:55:17,30
Roger Rabbit's Car Toon Spin,2024-02-01 23:00:18,30
