Ride,Date/Time,Wait Time
Mickey & Minnie's Runaway Railway,2023-02-01 07:50:16,11
Mickey & Minnie's Runaway Railway,2023-02-01 07:55:17,13
Mickey & Minnie's Runaway Railway,2023-02-01 08:00:17,14
Mickey & Minnie's Runaway Railway,2023-02-01 08:05:17,16
Mickey & Minnie's Runaway Railway,2023-02-01 08:10:16,18
Mickey & Minnie's Runaway Railway,2023-02-01 08:15:17,19
Mickey & Minnie's Runaway Railway,2023-02-01 08:20:16,21
Mickey & Minnie's Runaway Railway,2023-02-01 08:25:16,23
Mickey & Minnie's Runaway Railway,2023-02-01 08:30:16,24
Mickey & Minnie's Runaway Railway,2023-02-01 08:35:16,26
Mickey & Minnie's Runaway Railway,2023-02-01 08:40:16,28
Mickey & Minnie's Runaway Railway,2023-02-01 08:45:16,32
Mickey & Minnie's Runaway Railway,2023-02-01 08:50:16,34
Mickey & Minnie's Runaway Railway,2023-02-01 08:55:16,39
Mickey & Minnie's Runaway Railway,2023-02-01 09:00:16,40
Mickey & Minnie's Runaway Railway,2023-02-01 09:05:16,41
Mickey & Minnie's Runaway Railway,2023-02-01 09:10:16,41
Mickey & Minnie's Runaway Railway,2023-02-01 09:15:16,41
Mickey & Minnie's Runaway Railway,2023-02-01 09:20:17,41
Mickey & Minnie's Runaway Railway,2023-02-01 09:25:16,41
Mickey & Minnie's Runaway Railway,2023-02-01 09:30:16,43
Mickey & Minnie's Runaway Railway,2023-02-01 09:35:17,44
Mickey & Minnie's Runaway Railway,2023-02-01 09:40:16,46
Mickey & Minnie's Runaway Railway,2023-02-01 09:45:17,48
Mickey & Minnie's Runaway Railway,2023-02-01 09:50:16,50
Mickey & Minnie's Runaway Railway,2023-02-01 09:55:16,52
Mickey & Minnie's Runaway Railway,2023-02-01 10:00:17,54
Mickey & Minnie's Runaway Railway,2023-02-01 10:05:17,56
Mickey & Minnie's Runaway Railway,2023-02-01 10:10:16,58
Mickey & Minnie's Runaway Railway,2023-02-01 10:15:16,60
Mickey & Minnie's Runaway Railway,2023-02-01 10:20:16,62
Mickey & Minnie's Runaway Railway,2023-02-01 10:25:17,64
