Ride,Date/Time,Wait Time
"""it's a small world""",2023-01-20 09:10:05,5
"""it's a small world""",2023-01-20 09:15:08,5
"""it's a small world""",2023-01-20 09:20:05,5
"""it's a small world""",2023-01-20 09:25:05,5
"""it's a small world""",2023-01-20 09:30:05,5
"""it's a small world""",2023-01-20 09:35:06,5
"""it's a small world""",2023-01-20 09:40:06,5
"""it's a small world""",2023-01-20 09:45:07,5
"""it's a small world""",2023-01-20 10:00:05,5
"""it's a small world""",2023-01-20 10:05:09,5
"""it's a small world""",2023-01-20 10:10:10,5
"""it's a small world""",2023-01-20 10:15:06,5
"""it's a small world""",2023-01-20 10:20:09,5
"""it's a small world""",2023-01-20 10:25:06,5
"""it's a small world""",2023-01-20 10:30:09,25
"""it's a small world""",2023-01-20 10:35:04,25
"""it's a small world""",2023-01-20 10:40:07,25
"""it's a small world""",2023-01-20 10:45:06,25
"""it's a small world""",2023-01-20 10:50:04,25
"""it's a small world""",2023-01-20 10:55:05,25
"""it's a small world""",2023-01-20 11:00:07,25
"""it's a small world""",2023-01-20 11:05:08,40
"""it's a small world""",2023-01-20 11:10:07,40
"""it's a small world""",2023-01-20 11:15:09,40
"""it's a small world""",2023-01-20 11:20:07,40
"""it's a small world""",2023-01-20 11:25:07,40
"""it's a small world""",2023-01-20 11:30:06,25
"""it's a small world""",2023-01-20 11:35:06,25
"""it's a small world""",2023-01-20 11:40:06,25
"""it's a small world""",2023-01-20 11:45:09,15
"""it's a small world""",2023-01-20 11:50:10,15
"""it's a small world""",2023-01-20 11:55:06,15
"""it's a small world""",2023-01-20 12:00:09,15
"""it's a small world""",2023-01-20 12:05:09,15
"""it's a small world""",2023-01-20 12:10:10,15
"""it's a small world""",2023-01-20 12:15:08,15
"""it's a small world""",2023-01-20 12:20:05,15
"""it's a small world""",2023-01-20 12:25:09,15
"""it's a small world""",2023-01-20 12:30:04,15
"""it's a small world""",2023-01-20 12:35:05,15
"""it's a small world""",2023-01-20 12:40:07,15
"""it's a small world""",2023-01-20 12:45:08,25
"""it's a small world""",2023-01-20 12:50:10,25
"""it's a small world""",2023-01-20 12:55:08,25
"""it's a small world""",2023-01-20 13:00:06,25
"""it's a small world""",2023-01-20 13:05:05,25
"""it's a small world""",2023-01-20 13:10:09,25
"""it's a small world""",2023-01-20 13:15:11,25
"""it's a small world""",2023-01-20 13:20:09,25
"""it's a small world""",2023-01-20 13:25:05,25
"""it's a small world""",2023-01-20 13:30:09,25
"""it's a small world""",2023-01-20 13:35:07,10
"""it's a small world""",2023-01-20 13:40:07,10
"""it's a small world""",2023-01-20 13:45:04,10
"""it's a small world""",2023-01-20 13:50:07,10
"""it's a small world""",2023-01-20 13:55:08,10
"""it's a small world""",2023-01-20 14:10:04,10
"""it's a small world""",2023-01-20 14:15:09,10
"""it's a small world""",2023-01-20 14:20:05,10
"""it's a small world""",2023-01-20 14:25:07,10
"""it's a small world""",2023-01-20 14:30:07,10
"""it's a small world""",2023-01-20 14:35:07,10
"""it's a small world""",2023-01-20 14:40:06,10
"""it's a small world""",2023-01-20 14:45:07,10
"""it's a small world""",2023-01-20 14:50:07,10
"""it's a small world""",2023-01-20 14:55:04,15
"""it's a small world""",2023-01-20 15:00:06,15
"""it's a small world""",2023-01-20 15:05:09,25
"""it's a small world""",2023-01-20 15:10:05,25
"""it's a small world""",2023-01-20 15:15:08,45
"""it's a small world""",2023-01-20 15:20:09,45
"""it's a small world""",2023-01-20 15:25:08,45
"""it's a small world""",2023-01-20 15:30:10,30
"""it's a small world""",2023-01-20 15:35:09,30
"""it's a small world""",2023-01-20 15:40:07,30
"""it's a small world""",2023-01-20 15:45:06,30
"""it's a small world""",2023-01-20 15:50:05,30
"""it's a small world""",2023-01-20 15:55:06,30
"""it's a small world""",2023-01-20 16:00:10,30
"""it's a small world""",2023-01-20 16:05:08,30
"""it's a small world""",2023-01-20 16:10:09,30
"""it's a small world""",2023-01-20 16:15:06,30
"""it's a small world""",2023-01-20 16:20:10,30
"""it's a small world""",2023-01-20 16:25:09,30
"""it's a small world""",2023-01-20 16:30:06,30
"""it's a small world""",2023-01-20 16:35:08,30
"""it's a small world""",2023-01-20 16:40:09,30
"""it's a small world""",2023-01-20 16:45:09,30
"""it's a small world""",2023-01-20 16:50:09,30
"""it's a small world""",2023-01-20 16:55:06,30
"""it's a small world""",2023-01-20 17:00:09,30
"""it's a small world""",2023-01-20 17:05:05,30
"""it's a small world""",2023-01-20 17:10:08,30
"""it's a small world""",2023-01-20 17:15:05,30
"""it's a small world""",2023-01-20 17:25:09,30
"""it's a small world""",2023-01-20 17:30:08,30
"""it's a small world""",2023-01-20 17:35:05,30
"""it's a small world""",2023-01-20 17:40:05,30
"""it's a small world""",2023-01-20 17:45:05,30
"""it's a small world""",2023-01-20 17:50:05,30
"""it's a small world""",2023-01-20 17:55:08,25
"""it's a small world""",2023-01-20 18:00:06,25
"""it's a small world""",2023-01-20 18:05:10,25
"""it's a small world""",2023-01-20 18:10:06,25
"""it's a small world""",2023-01-20 18:15:09,25
