Ride,Date/Time,Wait Time
"""it's a small world"" Holiday",2023-01-01 09:40:08,5
"""it's a small world"" Holiday",2023-01-01 09:45:06,5
"""it's a small world"" Holiday",2023-01-01 09:50:07,5
"""it's a small world"" Holiday",2023-01-01 09:55:09,5
"""it's a small world"" Holiday",2023-01-01 10:00:09,5
"""it's a small world"" Holiday",2023-01-01 10:05:06,5
"""it's a small world"" Holiday",2023-01-01 10:10:10,5
"""it's a small world"" Holiday",2023-01-01 10:15:10,20
"""it's a small world"" Holiday",2023-01-01 10:20:06,20
"""it's a small world"" Holiday",2023-01-01 10:25:09,20
"""it's a small world"" Holiday",2023-01-01 10:30:08,20
"""it's a small world"" Holiday",2023-01-01 10:35:10,20
"""it's a small world"" Holiday",2023-01-01 10:40:08,20
"""it's a small world"" Holiday",2023-01-01 10:45:06,60
"""it's a small world"" Holiday",2023-01-01 10:50:06,60
"""it's a small world"" Holiday",2023-01-01 10:55:06,60
"""it's a small world"" Holiday",2023-01-01 11:00:05,60
"""it's a small world"" Holiday",2023-01-01 11:05:10,60
"""it's a small world"" Holiday",2023-01-01 11:10:08,60
"""it's a small world"" Holiday",2023-01-01 11:15:05,45
"""it's a small world"" Holiday",2023-01-01 11:20:07,45
"""it's a small world"" Holiday",2023-01-01 11:25:07,45
"""it's a small world"" Holiday",2023-01-01 11:30:06,45
"""it's a small world"" Holiday",2023-01-01 11:35:08,45
"""it's a small world"" Holiday",2023-01-01 11:40:06,45
"""it's a small world"" Holiday",2023-01-01 11:45:07,45
"""it's a small world"" Holiday",2023-01-01 11:50:06,60
"""it's a small world"" Holiday",2023-01-01 11:55:05,60
"""it's a small world"" Holiday",2023-01-01 12:00:05,60
"""it's a small world"" Holiday",2023-01-01 12:15:06,40
"""it's a small world"" Holiday",2023-01-01 12:20:10,40
"""it's a small world"" Holiday",2023-01-01 12:25:08,40
"""it's a small world"" Holiday",2023-01-01 12:30:08,20
"""it's a small world"" Holiday",2023-01-01 12:35:06,30
"""it's a small world"" Holiday",2023-01-01 12:40:07,30
"""it's a small world"" Holiday",2023-01-01 12:45:05,35
"""it's a small world"" Holiday",2023-01-01 12:50:08,35
"""it's a small world"" Holiday",2023-01-01 12:55:07,45
"""it's a small world"" Holiday",2023-01-01 13:00:05,55
"""it's a small world"" Holiday",2023-01-01 13:05:06,45
"""it's a small world"" Holiday",2023-01-01 13:10:10,45
"""it's a small world"" Holiday",2023-01-01 13:15:05,45
"""it's a small world"" Holiday",2023-01-01 13:20:09,45
"""it's a small world"" Holiday",2023-01-01 13:25:09,45
"""it's a small world"" Holiday",2023-01-01 13:30:09,45
"""it's a small world"" Holiday",2023-01-01 13:35:06,45
"""it's a small world"" Holiday",2023-01-01 13:40:06,45
"""it's a small world"" Holiday",2023-01-01 13:45:08,45
"""it's a small world"" Holiday",2023-01-01 13:50:06,45
"""it's a small world"" Holiday",2023-01-01 13:55:09,45
"""it's a small world"" Holiday",2023-01-01 14:00:06,45
"""it's a small world"" Holiday",2023-01-01 14:05:08,35
"""it's a small world"" Holiday",2023-01-01 14:10:05,35
"""it's a small world"" Holiday",2023-01-01 14:15:07,35
"""it's a small world"" Holiday",2023-01-01 14:20:07,35
"""it's a small world"" Holiday",2023-01-01 14:25:10,35
"""it's a small world"" Holiday",2023-01-01 14:30:10,35
"""it's a small world"" Holiday",2023-01-01 14:35:05,35
"""it's a small world"" Holiday",2023-01-01 14:40:10,35
"""it's a small world"" Holiday",2023-01-01 14:45:07,35
"""it's a small world"" Holiday",2023-01-01 14:50:09,35
"""it's a small world"" Holiday",2023-01-01 14:55:07,35
"""it's a small world"" Holiday",2023-01-01 15:00:07,35
"""it's a small world"" Holiday",2023-01-01 15:05:10,35
"""it's a small world"" Holiday",2023-01-01 15:10:04,55
"""it's a small world"" Holiday",2023-01-01 15:15:05,55
"""it's a small world"" Holiday",2023-01-01 15:20:09,70
"""it's a small world"" Holiday",2023-01-01 15:25:09,70
"""it's a small world"" Holiday",2023-01-01 15:30:05,40
"""it's a small world"" Holiday",2023-01-01 15:35:09,40
"""it's a small world"" Holiday",2023-01-01 15:40:08,40
"""it's a small world"" Holiday",2023-01-01 15:45:09,40
"""it's a small world"" Holiday",2023-01-01 15:50:10,40
"""it's a small world"" Holiday",2023-01-01 15:55:08,40
"""it's a small world"" Holiday",2023-01-01 16:00:10,40
"""it's a small world"" Holiday",2023-01-01 16:05:05,40
"""it's a small world"" Holiday",2023-01-01 16:10:07,40
"""it's a small world"" Holiday",2023-01-01 16:15:06,40
"""it's a small world"" Holiday",2023-01-01 16:20:05,40
"""it's a small world"" Holiday",2023-01-01 16:25:09,40
"""it's a small world"" Holiday",2023-01-01 16:30:06,40
"""it's a small world"" Holiday",2023-01-01 16:35:08,40
"""it's a small world"" Holiday",2023-01-01 16:40:05,40
"""it's a small world"" Holiday",2023-01-01 16:45:07,40
"""it's a small world"" Holiday",2023-01-01 16:50:05,40
"""it's a small world"" Holiday",2023-01-01 16:55:06,40
"""it's a small world"" Holiday",2023-01-01 17:00:10,40
"""it's a small world"" Holiday",2023-01-01 17:05:10,25
