Ride,Date/Time,Wait Time
Hyperspace Mountain,2023-06-01 07:35:08,5
Hyperspace Mountain,2023-06-01 07:40:08,5
Hyperspace Mountain,2023-06-01 07:45:10,5
Hyperspace Mountain,2023-06-01 07:50:09,5
Hyperspace Mountain,2023-06-01 07:55:06,5
Hyperspace Mountain,2023-06-01 08:00:07,5
Hyperspace Mountain,2023-06-01 08:05:09,5
Hyperspace Mountain,2023-06-01 08:10:10,20
Hyperspace Mountain,2023-06-01 08:15:07,35
Hyperspace Mountain,2023-06-01 08:20:06,35
Hyperspace Mountain,2023-06-01 08:25:05,35
Hyperspace Mountain,2023-06-01 08:30:08,35
Hyperspace Mountain,2023-06-01 08:35:06,35
Hyperspace Mountain,2023-06-01 08:40:11,35
Hyperspace Mountain,2023-06-01 08:45:07,35
Hyperspace Mountain,2023-06-01 08:50:06,25
Hyperspace Mountain,2023-06-01 08:55:05,15
Hyperspace Mountain,2023-06-01 09:00:06,15
Hyperspace Mountain,2023-06-01 09:05:10,30
Hyperspace Mountain,2023-06-01 09:10:07,30
Hyperspace Mountain,2023-06-01 09:15:10,40
Hyperspace Mountain,2023-06-01 09:20:06,40
Hyperspace Mountain,2023-06-01 09:25:07,40
Hyperspace Mountain,2023-06-01 09:30:09,40
Hyperspace Mountain,2023-06-01 09:35:08,40
Hyperspace Mountain,2023-06-01 09:40:11,40
Hyperspace Mountain,2023-06-01 09:45:10,40
Hyperspace Mountain,2023-06-01 09:50:09,40
Hyperspace Mountain,2023-06-01 09:55:10,40
Hyperspace Mountain,2023-06-01 10:00:11,40
Hyperspace Mountain,2023-06-01 10:05:08,40
Hyperspace Mountain,2023-06-01 10:10:09,40
Hyperspace Mountain,2023-06-01 10:15:11,40
Hyperspace Mountain,2023-06-01 10:20:11,60
Hyperspace Mountain,2023-06-01 10:25:07,40
Hyperspace Mountain,2023-06-01 10:30:10,40
Hyperspace Mountain,2023-06-01 10:35:09,50
Hyperspace Mountain,2023-06-01 10:40:07,65
Hyperspace Mountain,2023-06-01 10:45:07,65
Hyperspace Mountain,2023-06-01 10:50:07,65
Hyperspace Mountain,2023-06-01 10:55:07,75
Hyperspace Mountain,2023-06-01 11:00:10,75
Hyperspace Mountain,2023-06-01 11:05:09,65
Hyperspace Mountain,2023-06-01 11:10:10,65
Hyperspace Mountain,2023-06-01 11:15:08,65
Hyperspace Mountain,2023-06-01 11:20:07,55
Hyperspace Mountain,2023-06-01 11:25:08,55
Hyperspace Mountain,2023-06-01 11:30:07,55
Hyperspace Mountain,2023-06-01 11:35:09,55
Hyperspace Mountain,2023-06-01 11:40:09,55
Hyperspace Mountain,2023-06-01 11:45:10,55
Hyperspace Mountain,2023-06-01 11:50:09,55
Hyperspace Mountain,2023-06-01 11:55:07,55
Hyperspace Mountain,2023-06-01 12:00:07,55
Hyperspace Mountain,2023-06-01 12:05:08,55
Hyperspace Mountain,2023-06-01 12:10:11,65
Hyperspace Mountain,2023-06-01 12:15:08,65
Hyperspace Mountain,2023-06-01 12:20:09,65
Hyperspace Mountain,2023-06-01 12:25:10,65
Hyperspace Mountain,2023-06-01 12:30:09,75
Hyperspace Mountain,2023-06-01 12:35:11,75
Hyperspace Mountain,2023-06-01 12:40:07,75
Hyperspace Mountain,2023-06-01 12:45:07,75
Hyperspace Mountain,2023-06-01 12:50:08,75
Hyperspace Mountain,2023-06-01 12:55:08,75
Hyperspace Mountain,2023-06-01 13:00:09,75
Hyperspace Mountain,2023-06-01 13:05:07,75
Hyperspace Mountain,2023-06-01 13:10:06,75
Hyperspace Mountain,2023-06-01 13:15:08,75
Hyperspace Mountain,2023-06-01 13:20:07,75
Hyperspace Mountain,2023-06-01 13:25:07,60
Hyperspace Mountain,2023-06-01 13:30:09,60
Hyperspace Mountain,2023-06-01 13:35:11,60
Hyperspace Mountain,2023-06-01 13:40:10,60
Hyperspace Mountain,2023-06-01 13:45:08,60
Hyperspace Mountain,2023-06-01 13:50:07,60
Hyperspace Mountain,2023-06-01 13:55:06,60
Hyperspace Mountain,2023-06-01 14:00:10,60
Hyperspace Mountain,2023-06-01 14:05:08,75
Hyperspace Mountain,2023-06-01 14:10:07,75
Hyperspace Mountain,2023-06-01 14:15:12,75
Hyperspace Mountain,2023-06-01 14:20:07,75
Hyperspace Mountain,2023-06-01 14:25:06,75
Hyperspace Mountain,2023-06-01 14:30:10,75
Hyperspace Mountain,2023-06-01 14:35:05,75
Hyperspace Mountain,2023-06-01 14:40:06,75
Hyperspace Mountain,2023-06-01 14:45:07,85
Hyperspace Mountain,2023-06-01 14:50:11,85
Hyperspace Mountain,2023-06-01 14:55:07,85
Hyperspace Mountain,2023-06-01 15:00:07,85
Hyperspace Mountain,2023-06-01 15:05:07,85
Hyperspace Mountain,2023-06-01 15:10:09,85
Hyperspace Mountain,2023-06-01 15:15:09,85
Hyperspace Mountain,2023-06-01 15:20:10,70
Hyperspace Mountain,2023-06-01 15:25:09,70
Hyperspace Mountain,2023-06-01 15:30:06,70
Hyperspace Mountain,2023-06-01 15:35:10,70
Hyperspace Mountain,2023-06-01 15:40:09,70
Hyperspace Mountain,2023-06-01 15:45:05,70
Hyperspace Mountain,2023-06-01 15:50:07,70
Hyperspace Mountain,2023-06-01 15:55:06,50
Hyperspace Mountain,2023-06-01 16:00:11,50
Hyperspace Mountain,2023-06-01 16:05:06,50
Hyperspace Mountain,2023-06-01 16:10:10,50
Hyperspace Mountain,2023-06-01 16:15:06,50
Hyperspace Mountain,2023-06-01 16:20:11,70
Hyperspace Mountain,2023-06-01 16:25:06,70
Hyperspace Mountain,2023-06-01 16:30:06,70
Hyperspace Mountain,2023-06-01 16:35:06,70
Hyperspace Mountain,2023-06-01 16:40:09,70
Hyperspace Mountain,2023-06-01 16:45:10,70
Hyperspace Mountain,2023-06-01 16:50:07,70
Hyperspace Mountain,2023-06-01 16:55:06,70
Hyperspace Mountain,2023-06-01 17:00:08,70
Hyperspace Mountain,2023-06-01 17:05:07,80
Hyperspace Mountain,2023-06-01 17:10:11,80
Hyperspace Mountain,2023-06-01 17:15:12,80
Hyperspace Mountain,2023-06-01 17:20:09,80
Hyperspace Mountain,2023-06-01 17:25:10,80
Hyperspace Mountain,2023-06-01 17:30:12,80
Hyperspace Mountain,2023-06-01 17:35:11,80
Hyperspace Mountain,2023-06-01 17:40:10,80
Hyperspace Mountain,2023-06-01 17:45:11,80
Hyperspace Mountain,2023-06-01 17:50:08,120
Hyperspace Mountain,2023-06-01 17:55:09,120
Hyperspace Mountain,2023-06-01 18:00:10,120
Hyperspace Mountain,2023-06-01 18:05:05,135
Hyperspace Mountain,2023-06-01 18:10:09,135
Hyperspace Mountain,2023-06-01 18:15:09,95
Hyperspace Mountain,2023-06-01 18:20:10,95
Hyperspace Mountain,2023-06-01 18:25:09,95
Hyperspace Mountain,2023-06-01 18:30:05,95
Hyperspace Mountain,2023-06-01 18:35:07,95
Hyperspace Mountain,2023-06-01 18:40:11,95
Hyperspace Mountain,2023-06-01 18:45:08,95
Hyperspace Mountain,2023-06-01 18:50:06,95
Hyperspace Mountain,2023-06-01 18:55:06,110
Hyperspace Mountain,2023-06-01 19:00:10,110
Hyperspace Mountain,2023-06-01 19:05:10,110
Hyperspace Mountain,2023-06-01 19:10:08,110
Hyperspace Mountain,2023-06-01 19:15:09,120
Hyperspace Mountain,2023-06-01 19:20:08,120
Hyperspace Mountain,2023-06-01 19:25:07,120
Hyperspace Mountain,2023-06-01 19:30:11,120
Hyperspace Mountain,2023-06-01 19:35:08,120
Hyperspace Mountain,2023-06-01 19:40:10,120
