Ride,Date/Time,Wait Time
Space Mountain,2023-10-27 07:35:11,5
Space Mountain,2023-10-27 07:40:08,5
Space Mountain,2023-10-27 07:45:10,5
Space Mountain,2023-10-27 07:50:09,5
Space Mountain,2023-10-27 07:55:06,5
Space Mountain,2023-10-27 08:00:11,5
Space Mountain,2023-10-27 08:05:13,15
Space Mountain,2023-10-27 08:10:09,25
Space Mountain,2023-10-27 08:15:12,30
Space Mountain,2023-10-27 08:20:08,40
Space Mountain,2023-10-27 08:25:07,30
Space Mountain,2023-10-27 08:30:12,35
Space Mountain,2023-10-27 08:35:09,35
Space Mountain,2023-10-27 08:40:11,30
Space Mountain,2023-10-27 08:45:10,30
Space Mountain,2023-10-27 08:50:08,30
Space Mountain,2023-10-27 08:55:10,30
Space Mountain,2023-10-27 09:00:08,30
Space Mountain,2023-10-27 09:05:11,30
Space Mountain,2023-10-27 09:10:09,30
Space Mountain,2023-10-27 09:15:12,30
Space Mountain,2023-10-27 09:20:07,30
Space Mountain,2023-10-27 09:25:09,30
Space Mountain,2023-10-27 09:30:12,30
Space Mountain,2023-10-27 09:35:11,45
Space Mountain,2023-10-27 09:40:07,45
Space Mountain,2023-10-27 09:45:08,65
Space Mountain,2023-10-27 09:50:10,65
Space Mountain,2023-10-27 09:55:09,55
Space Mountain,2023-10-27 10:00:09,55
Space Mountain,2023-10-27 10:05:07,45
Space Mountain,2023-10-27 10:10:12,45
Space Mountain,2023-10-27 10:15:10,55
Space Mountain,2023-10-27 10:20:08,55
Space Mountain,2023-10-27 10:25:09,55
Space Mountain,2023-10-27 10:30:13,55
Space Mountain,2023-10-27 10:35:07,55
Space Mountain,2023-10-27 10:40:07,55
Space Mountain,2023-10-27 10:45:07,55
Space Mountain,2023-10-27 10:50:10,35
Space Mountain,2023-10-27 10:55:10,35
Space Mountain,2023-10-27 11:00:07,35
Space Mountain,2023-10-27 11:05:09,35
Space Mountain,2023-10-27 11:10:09,40
Space Mountain,2023-10-27 11:15:10,50
Space Mountain,2023-10-27 11:20:09,55
Space Mountain,2023-10-27 11:25:12,65
Space Mountain,2023-10-27 11:30:11,65
Space Mountain,2023-10-27 11:35:08,65
Space Mountain,2023-10-27 11:40:08,65
Space Mountain,2023-10-27 11:45:11,65
Space Mountain,2023-10-27 11:50:12,65
Space Mountain,2023-10-27 11:55:07,65
Space Mountain,2023-10-27 12:00:06,65
Space Mountain,2023-10-27 12:05:08,40
Space Mountain,2023-10-27 12:10:12,40
Space Mountain,2023-10-27 12:15:10,40
Space Mountain,2023-10-27 12:20:11,40
Space Mountain,2023-10-27 12:25:12,40
Space Mountain,2023-10-27 12:30:09,40
Space Mountain,2023-10-27 12:35:08,60
Space Mountain,2023-10-27 12:40:10,75
Space Mountain,2023-10-27 12:45:10,75
Space Mountain,2023-10-27 12:50:07,75
Space Mountain,2023-10-27 12:55:08,75
Space Mountain,2023-10-27 13:00:10,75
Space Mountain,2023-10-27 13:05:12,75
Space Mountain,2023-10-27 13:10:11,75
Space Mountain,2023-10-27 13:15:10,85
Space Mountain,2023-10-27 13:20:12,80
Space Mountain,2023-10-27 13:25:10,80
Space Mountain,2023-10-27 13:30:10,70
Space Mountain,2023-10-27 13:35:12,55
Space Mountain,2023-10-27 13:40:07,65
Space Mountain,2023-10-27 13:45:09,65
Space Mountain,2023-10-27 13:50:09,55
Space Mountain,2023-10-27 13:55:09,55
Space Mountain,2023-10-27 14:00:12,50
Space Mountain,2023-10-27 14:05:09,50
Space Mountain,2023-10-27 14:10:07,50
Space Mountain,2023-10-27 14:15:07,60
Space Mountain,2023-10-27 14:20:11,60
Space Mountain,2023-10-27 14:25:07,60
Space Mountain,2023-10-27 14:30:09,60
Space Mountain,2023-10-27 14:35:12,60
Space Mountain,2023-10-27 15:55:06,60
Space Mountain,2023-10-27 16:00:11,60
Space Mountain,2023-10-27 16:05:09,60
Space Mountain,2023-10-27 16:10:13,60
Space Mountain,2023-10-27 16:15:10,25
Space Mountain,2023-10-27 16:20:08,35
Space Mountain,2023-10-27 16:25:08,45
Space Mountain,2023-10-27 16:30:09,55
Space Mountain,2023-10-27 16:35:14,75
Space Mountain,2023-10-27 16:40:09,65
Space Mountain,2023-10-27 16:45:11,65
Space Mountain,2023-10-27 16:50:08,65
Space Mountain,2023-10-27 16:55:11,65
Space Mountain,2023-10-27 17:00:06,65
Space Mountain,2023-10-27 17:05:09,75
Space Mountain,2023-10-27 17:10:12,80
Space Mountain,2023-10-27 17:15:09,80
Space Mountain,2023-10-27 17:20:13,80
Space Mountain,2023-10-27 17:25:10,80
Space Mountain,2023-10-27 17:30:12,100
Space Mountain,2023-10-27 17:35:12,100
Space Mountain,2023-10-27 17:40:08,100
Space Mountain,2023-10-27 17:45:08,100
Space Mountain,2023-10-27 17:50:11,85
Space Mountain,2023-10-27 17:55:10,85
Space Mountain,2023-10-27 18:00:09,85
Space Mountain,2023-10-27 18:05:09,85
Space Mountain,2023-10-27 18:10:11,85
Space Mountain,2023-10-27 18:15:11,85
Space Mountain,2023-10-27 18:20:11,85
Space Mountain,2023-10-27 18:25:11,85
Space Mountain,2023-10-27 18:30:13,85
Space Mountain,2023-10-27 18:35:04,85
Space Mountain,2023-10-27 18:40:08,85
Space Mountain,2023-10-27 18:45:06,85
Space Mountain,2023-10-27 18:50:09,85
Space Mountain,2023-10-27 18:55:07,85
Space Mountain,2023-10-27 19:00:06,85
Space Mountain,2023-10-27 19:05:09,75
Space Mountain,2023-10-27 19:10:12,50
Space Mountain,2023-10-27 19:15:09,50
Space Mountain,2023-10-27 19:20:11,50
Space Mountain,2023-10-27 19:25:07,50
Space Mountain,2023-10-27 19:30:11,50
Space Mountain,2023-10-27 19:35:09,50
Space Mountain,2023-10-27 19:40:08,80
Space Mountain,2023-10-27 19:45:08,60
Space Mountain,2023-10-27 19:50:05,70
Space Mountain,2023-10-27 19:55:06,80
Space Mountain,2023-10-27 20:00:06,80
Space Mountain,2023-10-27 20:05:05,100
Space Mountain,2023-10-27 20:10:07,100
Space Mountain,2023-10-27 20:15:09,100
Space Mountain,2023-10-27 20:20:07,100
Space Mountain,2023-10-27 20:25:08,100
Space Mountain,2023-10-27 20:30:07,100
Space Mountain,2023-10-27 20:35:12,120
Space Mountain,2023-10-27 20:40:08,120
